,away_team,away_team_errors,away_team_hits,away_team_runs,date,hits_against,runs_against,away_team_win,home,season_hits_for,season_hits_against,season_runs_for,season_runs_against,season_errors,season_wins
383,Chicago Cubs,1,11,7,5/3/16,3,1,1,0,140,86,97,37,5,11
384,Seattle Mariners,0,13,8,5/3/16,6,2,1,0,117,86,68,41,8,9
385,Atlanta Braves,1,8,3,5/3/16,1,0,1,0,88,98,40,54,6,5
386,Los Angeles Angels of Anaheim,0,9,4,5/3/16,7,5,0,0,123,120,53,54,7,6
387,Arizona Diamondbacks,1,9,4,5/3/16,8,7,0,0,91,81,40,30,8,7
388,Washington Nationals,0,12,6,5/3/16,11,7,0,0,106,88,57,27,4,10
389,Minnesota Twins,0,7,4,5/3/16,5,6,0,0,97,108,40,55,6,2
390,Detroit Tigers,0,12,3,5/3/16,10,7,0,0,134,114,66,48,8,9
391,San Francisco Giants,0,10,3,5/3/16,3,1,1,0,112,119,65,70,6,6
392,Boston Red Sox,0,4,1,5/3/16,5,4,0,0,109,78,56,42,6,7
393,New York Yankees,2,7,1,5/3/16,5,4,0,0,77,98,30,55,7,3
394,Texas Rangers,0,8,3,5/4/16,7,4,0,0,96,91,39,35,6,5
395,Los Angeles Dodgers,1,8,5,5/4/16,10,8,0,0,142,109,81,61,10,9
396,Philadelphia Phillies,0,6,4,5/4/16,10,5,0,0,113,100,52,57,8,8
397,Colorado Rockies,0,8,2,5/4/16,3,0,1,0,121,108,67,50,6,8
398,Chicago Cubs,0,13,6,5/4/16,11,2,1,0,151,89,104,38,6,12
399,Seattle Mariners,2,16,9,5/4/16,11,8,1,0,130,92,76,43,8,10
400,Atlanta Braves,0,3,0,5/4/16,8,8,0,0,96,99,43,54,7,6
401,Los Angeles Angels of Anaheim,0,12,7,5/4/16,9,3,1,0,132,127,57,59,7,6
402,Arizona Diamondbacks,1,9,3,5/4/16,8,4,0,0,100,89,44,37,9,7
403,Washington Nationals,1,16,13,5/4/16,5,2,1,0,118,99,63,34,4,10
404,Minnesota Twins,1,9,4,5/4/16,14,16,0,0,104,113,44,61,6,2
405,Detroit Tigers,0,5,0,5/4/16,5,4,0,0,146,124,69,55,8,9
406,San Francisco Giants,1,9,4,5/4/16,10,7,0,0,122,122,68,71,6,7
407,Boston Red Sox,0,11,5,5/4/16,3,2,1,0,113,83,57,46,6,7
408,New York Yankees,0,10,7,5/4/16,7,0,1,0,84,103,31,59,9,3
409,Texas Rangers,0,9,2,5/5/16,15,12,0,0,104,98,42,39,6,5
410,Philadelphia Phillies,0,5,0,5/5/16,7,4,0,0,119,110,56,62,8,8
411,Colorado Rockies,0,17,17,5/5/16,16,7,1,0,129,111,69,50,6,9
412,New York Mets,1,4,3,5/5/16,11,5,0,0,112,98,59,31,4,8
413,Arizona Diamondbacks,0,5,0,5/5/16,9,4,0,0,109,97,47,41,10,7
414,Seattle Mariners,0,12,6,5/5/16,8,3,1,0,146,103,85,51,10,11
415,Detroit Tigers,1,5,4,5/5/16,16,9,0,0,151,129,69,59,8,9
416,Milwaukee Brewers,1,10,5,5/5/16,9,9,0,0,61,106,33,62,10,3
417,Washington Nationals,0,3,2,5/5/16,8,5,0,0,134,104,76,36,5,11
418,Boston Red Sox,0,12,7,5/5/16,8,3,1,0,124,86,62,48,6,8
419,New York Yankees,0,4,0,5/5/16,7,1,0,0,94,110,38,59,9,4
420,Los Angeles Dodgers,0,10,2,5/6/16,5,5,0,0,150,119,86,69,11,9
421,Pittsburgh Pirates,1,8,4,5/6/16,7,2,1,0,152,142,79,75,9,8
422,Colorado Rockies,0,8,4,5/6/16,9,6,0,0,146,127,86,57,6,10
423,New York Mets,0,3,0,5/6/16,8,2,0,0,116,109,62,36,5,8
424,Boston Red Sox,0,13,2,5/6/16,6,3,0,0,136,94,69,51,6,9
425,Philadelphia Phillies,1,12,4,5/6/16,10,6,0,0,124,117,56,66,8,8
426,Seattle Mariners,1,5,3,5/6/16,8,6,0,0,158,111,91,54,10,12
427,Texas Rangers,1,10,5,5/6/16,2,1,1,0,113,113,44,51,6,5
428,Kansas City Royals,0,9,1,5/6/16,9,7,0,0,111,94,35,51,4,5
429,Milwaukee Brewers,0,8,1,5/6/16,6,5,0,0,71,115,38,71,11,3
430,Washington Nationals,0,9,6,5/6/16,9,8,0,0,137,112,78,41,5,11
431,Minnesota Twins,1,7,4,5/6/16,14,10,0,0,113,127,48,77,7,2
432,Arizona Diamondbacks,1,10,7,5/6/16,10,2,1,0,114,106,47,45,10,7
433,Tampa Bay Rays,1,11,5,5/6/16,8,2,1,0,68,72,35,36,6,3
434,Pittsburgh Pirates,0,11,4,5/7/16,9,6,0,0,160,149,83,77,10,9
435,Colorado Rockies,0,12,1,5/7/16,7,2,0,0,154,136,90,63,6,10
436,New York Mets,0,9,6,5/7/16,8,3,1,0,119,117,62,38,5,8
437,Boston Red Sox,0,6,2,5/7/16,11,8,0,0,149,100,71,54,6,9
438,Philadelphia Phillies,0,5,4,5/7/16,10,3,1,0,136,127,60,72,9,8
439,Seattle Mariners,0,11,3,5/7/16,8,2,1,0,163,119,94,60,11,12
440,Texas Rangers,0,10,10,5/7/16,11,5,1,0,123,115,49,52,7,6
441,Kansas City Royals,0,12,7,5/7/16,6,0,1,0,120,103,36,58,4,5
442,Milwaukee Brewers,2,15,13,5/7/16,11,7,1,0,79,121,39,76,11,3
443,Washington Nationals,0,6,5,5/7/16,11,8,0,0,146,121,84,49,5,11
444,Minnesota Twins,0,4,2,5/7/16,13,7,0,0,120,141,52,87,8,2
445,Oakland Athletics,1,9,2,5/7/16,8,5,0,0,117,107,55,55,10,8
446,Los Angeles Dodgers,0,7,6,5/7/16,9,2,1,0,160,124,88,74,11,9
447,Oakland Athletics,1,15,8,5/7/16,7,4,1,0,126,115,57,60,11,8
448,Arizona Diamondbacks,0,10,4,5/7/16,4,2,1,0,124,116,54,47,11,8
449,Tampa Bay Rays,1,8,4,5/7/16,7,2,1,0,79,80,40,38,7,4
450,Los Angeles Dodgers,1,8,4,5/8/16,5,2,1,0,167,133,94,76,11,10
451,Pittsburgh Pirates,0,14,10,5/8/16,10,5,1,0,171,158,87,83,10,9
452,Colorado Rockies,0,9,2,5/8/16,6,0,1,0,166,143,91,65,6,10
453,New York Mets,0,11,4,5/8/16,8,3,1,0,128,125,68,41,5,9
454,Boston Red Sox,0,7,5,5/8/16,3,1,1,0,155,111,73,62,6,9
455,Philadelphia Phillies,1,10,6,5/8/16,10,5,1,0,141,137,64,75,9,9
456,Seattle Mariners,2,5,1,5/8/16,9,5,0,0,174,127,97,62,11,13
457,Texas Rangers,0,12,8,5/8/16,6,3,1,0,133,126,59,57,7,7
458,Kansas City Royals,2,9,4,5/8/16,8,5,0,0,132,109,43,58,4,6
459,Milwaukee Brewers,0,7,5,5/8/16,6,4,1,0,94,132,52,83,13,4
460,Washington Nationals,1,11,3,5/8/16,14,4,0,0,152,132,89,57,5,11
461,Minnesota Twins,0,7,1,5/8/16,6,3,0,0,124,154,54,94,8,2
462,Oakland Athletics,0,7,3,5/8/16,12,11,0,0,141,122,65,64,12,9
463,Arizona Diamondbacks,0,9,5,5/8/16,11,3,1,0,134,120,58,49,11,9
464,Tampa Bay Rays,0,7,3,5/8/16,5,1,1,0,87,87,44,40,8,5
465,Tampa Bay Rays,1,4,2,5/9/16,9,5,0,0,94,92,47,41,8,6
466,Detroit Tigers,1,7,4,5/9/16,7,5,0,0,156,145,73,68,9,9
467,Chicago White Sox,0,15,8,5/9/16,9,4,1,0,151,129,72,52,10,12
468,Toronto Blue Jays,0,7,3,5/9/16,4,1,1,0,97,109,52,45,6,7
469,Kansas City Royals,0,10,3,5/9/16,9,6,0,0,141,117,47,63,6,6
470,Milwaukee Brewers,3,5,1,5/9/16,12,4,0,0,101,138,57,87,13,5
471,New York Mets,2,8,4,5/9/16,6,2,1,0,139,133,72,44,5,10
472,Cleveland Indians,1,3,1,5/9/16,8,7,0,0,118,90,60,44,7,7
473,Arizona Diamondbacks,1,12,10,5/9/16,13,5,1,0,143,131,63,52,11,10
474,Pittsburgh Pirates,0,5,2,5/9/16,9,3,0,0,185,168,97,88,10,10
475,Oakland Athletics,0,11,7,5/9/16,15,14,0,0,148,134,68,75,12,9
476,Detroit Tigers,0,9,5,5/10/16,11,4,1,0,163,152,77,73,10,9
477,Chicago White Sox,0,13,11,5/10/16,17,13,0,0,166,138,80,56,10,13
478,Toronto Blue Jays,1,9,4,5/10/16,6,0,1,0,104,113,55,46,6,8
479,Tampa Bay Rays,1,6,4,5/10/16,11,6,0,0,98,101,49,46,9,6
480,Kansas City Royals,1,9,7,5/10/16,13,10,0,0,151,126,50,69,6,6
481,Baltimore Orioles,0,14,5,5/10/16,6,3,1,0,101,101,53,54,6,5
482,Milwaukee Brewers,0,12,10,5/10/16,8,2,1,0,106,150,58,91,16,5
483,New York Mets,0,5,2,5/10/16,10,3,0,0,147,139,76,46,7,11
484,Cleveland Indians,0,8,4,5/10/16,4,0,1,0,121,98,61,51,8,7
485,Arizona Diamondbacks,1,14,5,5/10/16,4,1,1,0,155,144,73,57,12,11
486,San Diego Padres,0,8,7,5/10/16,12,8,0,0,112,91,60,49,9,5
487,Oakland Athletics,2,15,5,5/10/16,16,13,0,0,159,149,75,89,12,9
488,Philadelphia Phillies,0,9,3,5/10/16,6,2,1,0,151,147,70,80,10,10
489,St. Louis Cardinals,1,14,8,5/10/16,7,1,1,0,127,112,84,60,16,7
490,Detroit Tigers,0,6,2,5/11/16,9,3,0,0,172,163,82,77,10,10
491,Chicago White Sox,0,11,5,5/11/16,10,6,0,0,179,155,91,69,10,13
492,Toronto Blue Jays,2,11,4,5/11/16,12,5,0,0,113,119,59,46,7,9
493,Tampa Bay Rays,0,10,5,5/11/16,8,6,0,0,104,112,53,52,10,6
494,Kansas City Royals,0,9,7,5/11/16,7,3,1,0,160,139,57,79,7,6
495,Baltimore Orioles,0,16,9,5/11/16,8,2,1,0,115,107,58,57,6,6
496,Milwaukee Brewers,0,8,2,5/11/16,5,3,0,0,118,158,68,93,16,6
497,New York Mets,1,8,4,5/11/16,7,3,1,0,152,149,78,49,7,11
498,Cleveland Indians,0,14,3,5/11/16,10,5,0,0,129,102,65,51,8,8
499,Arizona Diamondbacks,1,13,7,5/11/16,14,8,0,0,169,148,78,58,13,12
500,Pittsburgh Pirates,0,6,5,5/11/16,6,4,1,0,190,177,99,91,10,10
501,San Diego Padres,1,3,1,5/11/16,4,0,1,0,120,103,67,57,9,5
502,San Diego Padres,2,10,7,5/11/16,9,4,1,0,123,107,68,57,10,6
503,Oakland Athletics,0,8,3,5/11/16,17,13,0,0,174,165,80,102,14,9
504,Philadelphia Phillies,2,4,1,5/11/16,10,5,0,0,160,153,73,82,10,11
505,St. Louis Cardinals,1,9,5,5/11/16,4,2,1,0,141,119,92,61,17,8
506,Kansas City Royals,0,9,3,5/12/16,7,7,0,0,169,146,64,82,7,7
507,San Diego Padres,0,7,3,5/12/16,8,0,1,0,133,116,75,61,12,7
508,New York Mets,0,3,0,5/12/16,8,5,0,0,160,156,82,52,8,12
509,Houston Astros,1,7,1,5/12/16,14,11,0,0,105,137,54,84,9,4
510,Detroit Tigers,0,13,5,5/12/16,12,7,0,0,178,172,84,80,10,10
511,Philadelphia Phillies,0,10,7,5/12/16,8,4,1,0,164,163,74,87,12,11
512,San Francisco Giants,0,8,4,5/12/16,10,2,1,0,131,132,72,78,7,7
513,St. Louis Cardinals,1,18,12,5/12/16,15,10,1,0,150,123,97,63,18,9
514,Oakland Athletics,1,11,6,5/13/16,5,3,1,0,182,182,83,115,14,9
515,Los Angeles Angels of Anaheim,0,13,7,5/13/16,10,6,1,0,144,136,64,62,7,7
516,Cincinnati Reds,0,4,2,5/13/16,7,3,0,0,95,101,37,76,12,2
517,Chicago White Sox,0,9,7,5/13/16,6,1,1,0,190,165,96,75,10,13
518,San Diego Padres,0,3,0,5/13/16,7,1,0,0,140,124,78,61,12,8
519,St. Louis Cardinals,4,9,4,5/13/16,11,8,0,0,168,138,109,73,19,10
520,Atlanta Braves,2,7,1,5/13/16,7,5,0,0,99,107,43,62,7,6
521,New York Mets,0,6,2,5/13/16,12,5,0,0,163,164,82,57,8,12
522,Minnesota Twins,1,8,6,5/13/16,8,7,0,0,131,160,55,97,8,2
523,Pittsburgh Pirates,0,11,4,5/13/16,11,9,0,0,196,183,104,95,10,11
524,Houston Astros,0,13,7,5/13/16,11,6,1,0,112,151,55,95,10,4
525,Detroit Tigers,0,6,0,5/13/16,4,1,0,0,191,184,89,87,10,10
526,Miami Marlins,0,8,3,5/13/16,9,5,0,0,157,128,63,63,10,10
527,Toronto Blue Jays,0,9,5,5/13/16,3,0,1,0,124,131,63,51,9,9
528,San Francisco Giants,0,8,3,5/13/16,8,1,1,0,139,142,76,80,7,8
529,Miami Marlins,0,11,7,5/14/16,5,1,1,0,165,137,66,68,10,10
530,Miami Marlins,3,8,4,5/14/16,9,6,0,0,176,142,73,69,10,11
531,Toronto Blue Jays,0,10,5,5/14/16,9,6,0,0,133,134,68,51,9,10
532,Oakland Athletics,1,2,0,5/14/16,8,6,0,0,193,187,89,118,15,10
533,Los Angeles Angels of Anaheim,0,13,9,5/14/16,11,7,1,0,157,146,71,68,7,8
534,Cincinnati Reds,0,7,3,5/14/16,10,4,0,0,99,108,39,79,12,2
535,Chicago White Sox,0,5,1,5/14/16,5,2,0,0,199,171,103,76,10,14
536,San Diego Padres,4,13,8,5/14/16,10,7,1,0,143,131,78,62,12,8
537,St. Louis Cardinals,1,5,3,5/14/16,6,5,0,0,177,149,113,81,23,10
538,Atlanta Braves,1,11,5,5/14/16,8,0,1,0,106,114,44,67,9,6
539,New York Mets,1,13,4,5/14/16,12,7,0,0,169,176,84,62,8,12
540,Minnesota Twins,0,11,6,5/14/16,7,3,1,0,139,168,61,104,9,2
541,Pittsburgh Pirates,1,3,2,5/14/16,11,8,0,0,207,194,108,104,10,11
542,Houston Astros,0,11,5,5/14/16,14,6,0,0,125,162,62,101,10,5
543,Detroit Tigers,1,5,3,5/14/16,11,9,0,0,197,188,89,88,10,10
544,San Francisco Giants,1,12,5,5/14/16,8,3,1,0,147,150,79,81,7,9
545,Cincinnati Reds,1,14,9,5/15/16,12,4,1,0,106,118,42,83,12,2
546,Miami Marlins,1,9,5,5/15/16,7,1,1,0,184,151,77,75,13,11
547,Toronto Blue Jays,0,12,6,5/15/16,9,7,0,0,143,143,73,57,9,10
548,Oakland Athletics,1,12,7,5/15/16,6,6,1,0,195,195,89,124,16,10
549,Los Angeles Angels of Anaheim,0,9,3,5/15/16,2,0,1,0,170,157,80,75,7,9
550,Chicago White Sox,2,12,5,5/15/16,10,7,0,0,204,176,104,78,10,14
551,San Diego Padres,0,7,2,5/15/16,11,3,0,0,156,141,86,69,16,9
552,St. Louis Cardinals,0,7,5,5/15/16,6,2,1,0,182,155,116,86,24,10
553,Atlanta Braves,0,10,2,5/15/16,12,4,0,0,117,122,49,67,10,7
554,New York Mets,0,8,3,5/15/16,6,4,0,0,182,188,88,69,9,12
555,Minnesota Twins,0,7,5,5/15/16,9,1,1,0,150,175,67,107,9,3
556,Pittsburgh Pirates,0,5,2,5/15/16,4,1,1,0,210,205,110,112,11,11
557,Houston Astros,2,8,9,5/15/16,14,10,0,0,136,176,67,107,10,5
558,Detroit Tigers,1,13,6,5/15/16,7,5,1,0,202,199,92,97,11,10
559,San Francisco Giants,1,4,2,5/15/16,8,1,1,0,159,158,84,84,8,10
560,Tampa Bay Rays,0,17,13,5/16/16,8,2,1,0,114,120,58,58,10,6
561,Atlanta Braves,0,9,5,5/16/16,14,8,0,0,127,134,51,71,10,7
562,Miami Marlins,1,10,5,5/16/16,10,3,1,0,193,158,82,76,14,12
563,Texas Rangers,1,4,1,5/16/16,4,3,0,0,145,132,67,60,7,8
564,Los Angeles Angels of Anaheim,1,12,7,5/16/16,9,6,1,0,179,159,83,75,7,10
565,Minnesota Twins,0,11,8,5/16/16,14,10,0,0,157,184,72,108,9,4
566,Cincinnati Reds,2,12,6,5/16/16,19,15,0,0,120,130,51,87,13,3
567,New York Yankees,2,8,2,5/16/16,15,12,0,0,98,117,38,60,9,4
568,Tampa Bay Rays,0,17,12,5/17/16,5,2,1,0,131,128,71,60,10,7
569,Colorado Rockies,0,7,3,5/17/16,6,1,1,0,175,149,93,65,6,11
570,San Francisco Giants,1,10,5,5/17/16,5,1,1,0,163,166,86,85,9,11
571,Atlanta Braves,3,15,9,5/17/16,21,12,0,0,136,148,56,79,10,7
572,Miami Marlins,1,8,1,5/17/16,6,3,0,0,203,168,87,79,15,13
573,Texas Rangers,0,15,5,5/17/16,12,8,0,0,149,136,68,63,8,8
574,Washington Nationals,0,5,0,5/17/16,4,2,0,0,163,146,92,61,6,11
575,Chicago Cubs,0,3,2,5/17/16,5,4,0,0,164,100,110,40,6,13
576,Los Angeles Angels of Anaheim,1,4,1,5/17/16,13,5,0,0,191,168,90,81,8,11
577,Boston Red Sox,2,8,4,5/17/16,11,8,0,0,162,114,78,63,6,10
578,Minnesota Twins,0,7,2,5/17/16,10,7,0,0,168,198,80,118,9,4
579,Cincinnati Reds,0,5,1,5/17/16,17,13,0,0,132,149,57,102,15,3
580,Houston Astros,0,11,6,5/17/16,11,5,1,0,144,190,76,117,12,5
581,Seattle Mariners,1,12,10,5/17/16,2,0,1,0,179,136,98,67,13,13
582,New York Yankees,2,6,3,5/17/16,10,5,0,0,106,132,40,72,11,4
583,Tampa Bay Rays,0,10,6,5/18/16,4,3,1,0,148,133,83,62,10,8
584,Colorado Rockies,1,6,0,5/18/16,7,2,0,0,182,155,96,66,6,12
585,San Francisco Giants,0,4,2,5/18/16,4,1,1,0,173,171,91,86,10,12
586,Atlanta Braves,0,10,3,5/18/16,6,1,1,0,151,169,65,91,13,7
587,Miami Marlins,1,6,2,5/18/16,8,4,0,0,211,174,88,82,16,13
588,Texas Rangers,0,4,1,5/18/16,12,8,0,0,164,148,73,71,8,8
589,Washington Nationals,0,8,7,5/18/16,6,1,1,0,168,150,92,63,6,11
590,Chicago Cubs,1,10,2,5/18/16,6,1,1,0,167,105,112,44,6,13
591,Boston Red Sox,0,10,5,5/18/16,6,2,1,0,170,125,82,71,8,10
592,Boston Red Sox,0,9,2,5/18/16,5,3,0,0,180,131,87,73,8,11
593,Minnesota Twins,3,7,3,5/18/16,13,6,0,0,175,208,82,125,9,4
594,Cleveland Indians,0,10,8,5/18/16,10,7,1,0,143,112,68,56,8,8
595,Houston Astros,0,13,5,5/18/16,10,3,1,0,155,201,82,122,12,6
596,Seattle Mariners,1,7,2,5/18/16,8,5,0,0,191,138,108,67,14,14
597,New York Yankees,0,11,4,5/18/16,2,2,1,0,112,142,43,77,13,4
598,Los Angeles Dodgers,2,8,1,5/18/16,12,8,0,0,175,138,98,78,12,11
599,Colorado Rockies,0,9,7,5/19/16,12,13,0,0,188,162,96,68,7,12
600,San Francisco Giants,0,9,3,5/19/16,4,1,1,0,177,175,93,87,10,13
601,Atlanta Braves,0,7,2,5/19/16,11,8,0,0,161,175,68,92,13,8
602,New York Yankees,0,10,4,5/19/16,6,1,1,0,123,144,47,79,13,5
603,Washington Nationals,0,11,9,5/19/16,6,1,1,0,176,156,99,64,6,12
604,Toronto Blue Jays,1,9,3,5/19/16,4,2,1,0,155,152,79,64,9,10
605,Chicago Cubs,1,6,3,5/19/16,8,5,0,0,177,111,114,45,7,14
606,Cleveland Indians,1,10,7,5/19/16,5,2,1,0,153,122,76,63,8,9
607,Houston Astros,0,4,1,5/19/16,5,2,0,0,168,211,87,125,12,7
608,Seattle Mariners,0,9,7,5/19/16,6,2,1,0,198,146,110,72,15,14
609,Los Angeles Dodgers,0,6,4,5/19/16,11,7,0,0,183,150,99,86,14,11
610,Atlanta Braves,0,8,7,5/20/16,6,1,1,0,168,186,70,100,13,8
611,New York Yankees,1,13,8,5/20/16,6,3,1,0,133,150,51,80,13,6
612,Milwaukee Brewers,0,3,2,5/20/16,7,3,0,0,126,163,70,96,16,6
613,Toronto Blue Jays,2,14,9,5/20/16,10,3,1,0,164,156,82,66,10,11
614,Washington Nationals,0,8,4,5/20/16,9,1,1,0,187,162,108,65,6,13
615,Texas Rangers,0,5,2,5/20/16,6,1,1,0,168,160,74,79,8,8
616,Tampa Bay Rays,2,8,7,5/20/16,11,5,1,0,158,137,89,65,10,9
617,Seattle Mariners,0,10,8,5/20/16,8,3,1,0,207,152,117,74,15,15
618,Kansas City Royals,1,12,4,5/20/16,6,1,1,0,178,153,67,89,7,7
619,Cleveland Indians,1,8,4,5/20/16,6,2,1,0,163,127,83,65,9,10
620,Baltimore Orioles,1,14,9,5/20/16,7,4,1,0,131,115,67,59,6,7
621,Arizona Diamondbacks,2,15,11,5/20/16,11,7,1,0,182,162,85,66,14,12
622,Chicago Cubs,0,11,8,5/20/16,6,1,1,0,183,119,117,50,8,14
623,Los Angeles Dodgers,0,11,6,5/20/16,7,7,0,0,189,161,103,93,14,11
624,Colorado Rockies,1,12,1,5/20/16,8,2,0,0,197,174,103,81,7,12
625,Arizona Diamondbacks,1,8,2,5/21/16,10,6,0,0,197,173,96,73,16,13
626,Chicago Cubs,0,10,3,5/21/16,9,5,0,0,194,125,125,51,8,15
627,Los Angeles Dodgers,1,4,2,5/21/16,5,3,0,0,200,168,109,100,14,11
628,Colorado Rockies,1,6,5,5/21/16,9,1,1,0,209,182,104,83,8,12
629,Atlanta Braves,0,6,2,5/21/16,2,0,1,0,176,192,77,101,13,9
630,New York Yankees,0,8,5,5/21/16,6,1,1,0,146,156,59,83,14,7
631,Milwaukee Brewers,0,7,4,5/21/16,9,5,0,0,129,170,72,99,16,6
632,Toronto Blue Jays,0,6,3,5/21/16,4,5,0,0,178,166,91,69,12,12
633,Washington Nationals,1,8,2,5/21/16,10,3,0,0,195,171,112,66,6,14
634,Texas Rangers,0,6,2,5/21/16,3,1,1,0,173,166,76,80,8,9
635,Tampa Bay Rays,0,6,4,5/21/16,8,5,0,0,166,148,96,70,12,10
636,Seattle Mariners,0,6,4,5/21/16,4,0,1,0,217,160,125,77,15,16
637,Kansas City Royals,1,8,2,5/21/16,7,1,1,0,190,159,71,90,8,8
638,Cleveland Indians,0,2,1,5/21/16,13,9,0,0,171,133,87,67,10,11
639,Baltimore Orioles,0,5,3,5/21/16,9,1,1,0,145,122,76,63,7,8
640,Baltimore Orioles,1,5,2,5/22/16,13,10,0,0,150,131,79,64,7,9
641,Arizona Diamondbacks,0,13,7,5/22/16,6,2,1,0,205,183,98,79,17,13
642,Chicago Cubs,0,3,0,5/22/16,4,1,0,0,204,134,128,56,8,15
643,Los Angeles Dodgers,1,16,9,5/22/16,9,5,1,0,204,173,111,103,15,11
644,Atlanta Braves,0,6,0,5/22/16,13,5,0,0,182,194,79,101,13,10
645,New York Yankees,2,10,5,5/22/16,6,4,1,0,154,162,64,84,14,8
646,Milwaukee Brewers,0,8,1,5/22/16,6,3,0,0,136,179,76,104,16,6
647,Toronto Blue Jays,0,9,3,5/22/16,3,1,1,0,184,170,94,74,12,12
648,Washington Nationals,0,10,8,5/22/16,6,2,1,0,203,181,114,69,7,14
649,Texas Rangers,1,13,9,5/22/16,5,2,1,0,179,169,78,81,8,10
650,Tampa Bay Rays,0,10,4,5/22/16,13,9,0,0,172,156,100,75,12,10
651,Seattle Mariners,0,12,5,5/22/16,8,4,1,0,223,164,129,77,15,17
652,Kansas City Royals,0,8,2,5/22/16,7,3,0,0,198,166,73,91,9,9
653,Cleveland Indians,0,6,2,5/22/16,12,5,0,0,173,146,88,76,10,11
654,New York Mets,0,11,7,5/23/16,6,1,1,0,190,194,91,73,9,12
655,Los Angeles Angels of Anaheim,1,9,2,5/23/16,7,0,1,0,195,181,91,86,9,11
656,Chicago Cubs,1,9,3,5/23/16,5,4,0,0,207,138,128,57,8,15
657,San Diego Padres,1,2,0,5/23/16,5,1,0,0,163,152,88,72,16,9
658,Oakland Athletics,0,7,5,5/23/16,9,0,1,0,207,201,96,130,17,11
659,Colorado Rockies,1,7,3,5/23/16,7,6,0,0,215,191,109,84,9,13
660,Kansas City Royals,1,17,10,5/23/16,12,4,1,0,206,173,75,94,9,9
661,Tampa Bay Rays,0,12,6,5/23/16,14,7,0,0,182,169,104,84,12,10
662,Cincinnati Reds,3,2,0,5/23/16,5,1,0,0,137,166,58,115,15,3
663,Philadelphia Phillies,1,12,4,5/23/16,12,5,0,0,174,171,81,91,12,12
664,Cleveland Indians,1,7,5,5/23/16,6,1,1,0,179,158,90,81,10,11
665,Cleveland Indians,2,7,6,5/23/16,10,7,0,0,186,164,95,82,11,12
666,New York Mets,0,5,4,5/24/16,11,7,0,0,201,200,98,74,9,13
667,Los Angeles Angels of Anaheim,0,7,1,5/24/16,7,4,0,0,204,188,93,86,10,12
668,Chicago Cubs,1,15,12,5/24/16,7,3,1,0,216,143,131,61,9,15
669,San Diego Padres,1,9,2,5/24/16,9,8,0,0,165,157,88,73,17,9
670,Oakland Athletics,0,9,5,5/24/16,11,6,0,0,214,210,101,130,17,12
671,Arizona Diamondbacks,2,6,1,5/24/16,17,12,0,0,218,189,105,81,17,14
672,Toronto Blue Jays,0,2,0,5/24/16,8,6,0,0,193,173,97,75,12,13
673,Kansas City Royals,1,13,7,5/24/16,7,4,1,0,223,185,85,98,10,10
674,Tampa Bay Rays,2,9,4,5/24/16,8,3,1,0,194,183,110,91,12,10
675,Cincinnati Reds,3,3,2,5/24/16,11,8,0,0,139,171,58,116,18,3
676,Baltimore Orioles,0,8,2,5/24/16,8,3,0,0,155,144,81,74,8,9
677,Philadelphia Phillies,0,5,1,5/24/16,7,3,0,0,186,183,85,96,13,12
678,Cleveland Indians,0,10,6,5/24/16,6,2,1,0,193,174,101,89,13,12
679,Colorado Rockies,1,6,3,5/24/16,12,8,0,0,222,198,112,90,10,13
680,Milwaukee Brewers,1,4,2,5/24/16,5,1,1,0,144,185,77,107,16,6
681,New York Mets,0,5,2,5/25/16,6,0,1,0,206,211,102,81,9,13
682,Los Angeles Angels of Anaheim,2,14,9,5/25/16,18,15,0,0,211,195,94,90,10,12
683,Miami Marlins,0,13,4,5/25/16,9,3,1,0,217,182,90,86,17,13
684,Chicago Cubs,1,10,9,5/25/16,13,8,1,0,231,150,143,64,10,16
685,San Diego Padres,1,9,3,5/25/16,10,4,0,0,174,166,90,81,18,9
686,Oakland Athletics,0,10,3,5/25/16,17,13,0,0,223,221,106,136,17,12
687,Arizona Diamondbacks,1,9,4,5/25/16,11,5,0,0,224,206,106,93,19,14
688,Toronto Blue Jays,0,11,8,5/25/16,6,4,1,0,195,181,97,81,12,13
689,Kansas City Royals,2,11,5,5/25/16,12,7,0,0,236,192,92,102,11,11
690,Cincinnati Reds,0,4,1,5/25/16,3,3,0,0,142,182,60,124,21,3
691,Baltimore Orioles,4,11,3,5/25/16,8,4,0,0,163,152,83,77,8,9
692,Philadelphia Phillies,1,12,8,5/25/16,9,5,1,0,191,190,86,99,13,12
693,Cleveland Indians,3,8,4,5/25/16,9,3,1,0,203,180,107,91,13,13
694,Colorado Rockies,0,10,3,5/25/16,13,10,0,0,228,210,115,98,11,13
695,Milwaukee Brewers,0,11,3,5/25/16,9,2,1,0,148,190,79,108,17,7
696,St. Louis Cardinals,0,6,1,5/26/16,7,2,0,0,189,161,121,88,24,11
697,Miami Marlins,0,15,9,5/26/16,7,1,1,0,230,191,94,89,17,14
698,Arizona Diamondbacks,1,13,3,5/26/16,12,8,0,0,233,217,110,98,20,14
699,Toronto Blue Jays,0,6,3,5/26/16,4,1,1,0,206,187,105,85,12,14
700,Baltimore Orioles,1,5,2,5/26/16,6,4,0,0,174,160,86,81,12,9
701,Colorado Rockies,0,12,8,5/26/16,6,2,1,0,238,223,118,108,11,13
